0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:12 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:20 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:20 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:20 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:21 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:21 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:21 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:23 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:23 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:23 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:24 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:24 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:24 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:24 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:24 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:25 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
